iter,rel_res
0,1.0
1,0.0008897588722547578
2,0.0003420861413194193
3,0.00017912798267863425
4,0.00011099489675845897
5,7.51127761046852e-05
6,5.3063030349555975e-05
7,3.832914337857157e-05
8,2.8041316222121938e-05
9,2.067923565639207e-05
10,1.5331371962969695e-05
11,1.1408423121405912e-05
12,8.511372829812413e-06
13,6.361832738421502e-06
14,4.761557681737563e-06
15,3.5673111026035973e-06
16,2.674512040670631e-06
17,2.0062192140262775e-06
18,1.5055108855074786e-06
19,1.130105002304725e-06
20,8.48501083367292e-07
21,6.371803352586309e-07
22,4.78555501709952e-07
23,3.5945966992134255e-07
24,2.7002685130853525e-07
25,2.0285975930915687e-07
26,1.524094512063524e-07
27,1.1451199423691376e-07
28,8.604191135299241e-08
29,6.465269806039381e-08
30,4.8582381545537986e-08
31,3.65077322920875e-08
32,2.7434904565525484e-08
33,2.0617377667041443e-08
34,1.5494364274010612e-08
35,1.1644573358326436e-08
36,8.751492078926771e-09
