iter,rel_res
0,17493.898851218615
1,2.4603642415657334
2,1.0590271615115097
3,0.7346184703133484
4,0.4165021744358912
5,0.2800889322871368
6,0.17270864824248616
7,0.11417442383560361
8,0.07256558781422227
9,0.04751204352056163
10,0.030557840368362944
11,0.019914875962647786
12,0.012875066041313036
13,0.008375276933815394
14,0.005430019668449824
15,0.0035323887389496302
16,0.00229654731169844
17,0.001497679301120429
18,0.0009789152686124616
19,0.0006434021473318144
20,0.00042617711426108125
21,0.00028602488574422055
22,0.00019577246524590605
23,0.00013790830428201588
24,0.00010091084615863466
25,7.724530189835043e-05
26,6.196117128266603e-05
27,5.187197970987991e-05
28,4.498286381359408e-05
29,4.008459514685172e-05
30,3.6455545160447596e-05
31,3.3662784611089706e-05
32,3.14397953637242e-05
33,2.9616460183425375e-05
34,2.8080125654076288e-05
35,2.6753903408328332e-05
36,2.5584168744482252e-05
37,2.4532991064137364e-05
38,2.3573299058552112e-05
39,2.2685652165930333e-05
40,2.185601660419129e-05
41,2.1074204664716925e-05
42,2.0332768903056308e-05
43,1.9626215515699686e-05
44,1.8950444184595426e-05
45,1.830234941583273e-05
46,1.7679537053299017e-05
47,1.7080122930708357e-05
48,1.650258995419665e-05
49,1.59456867105021e-05
50,1.540835554934339e-05
