iter,rel_res
0,1.0
1,0.2814405951740867
2,0.06929404176823248
3,0.019261473904089468
4,0.006892126916346507
5,0.002495307036502517
6,0.0010944953575168562
7,0.0004984464481411561
8,0.0002323930666757181
9,0.00011134830458415167
10,5.2448033580409385e-05
11,2.4953781405277973e-05
12,1.1718212541541677e-05
13,5.50475724670407e-06
14,2.5816444802739597e-06
15,1.1933443607448535e-06
16,5.558890232838349e-07
17,2.556848633290152e-07
18,1.1702696133218668e-07
19,5.376807428700551e-08
20,2.4313349788631822e-08
21,1.1032508907635518e-08
22,4.984514085080698e-09
